title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Secret Window,movie,"Drama, Mystery, Thriller",2004,tt0363988,6.5,215247.0
What's Eating Gilbert Grape,movie,Drama,1993,tt0108550,7.7,261019.0
Bring It On,movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109620.0
Meet the Parents,movie,"Comedy, Romance",2000,tt0212338,7.0,366667.0
Cape Fear,movie,"Crime, Thriller",1991,tt0101540,7.3,225676.0
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,182714.0
Liar Liar,movie,"Comedy, Fantasy",1997,tt0119528,6.9,347862.0
The People vs. Larry Flynt,movie,"Biography, Drama",1996,tt0117318,7.3,103120.0
Fried Green Tomatoes,movie,Drama,1991,tt0101921,7.7,87035.0
Free Willy,movie,"Adventure, Drama, Family",1993,tt0106965,6.0,85761.0
The Island,movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,333621.0
The Net,movie,"Action, Crime, Drama",1995,tt0113957,6.0,76773.0
Freedom Writers,movie,"Biography, Crime, Drama",2007,tt0463998,7.6,88528.0
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004,tt0318462,7.7,106681.0
The Legend of Zorro,movie,"Action, Adventure, Romance",2005,tt0386140,6.0,110760.0
Hostel,movie,Horror,2005,tt0450278,5.9,197444.0
Hostel: Part II,movie,Horror,2007,tt0498353,5.5,98950.0
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6.0,14364.0
The Cider House Rules,movie,"Drama, Romance",1999,tt0124315,7.4,107070.0
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,541153.0
Iron Man,movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1166389.0
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008,tt0865556,6.5,111353.0
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,356580.0
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,170137.0
Footloose,movie,"Drama, Music, Romance",1984,tt0087277,6.6,97519.0
